outlet,group,estimated_country,domain_country,basis,broad,both,only_pair,only_pair_specific,specific_kenya
capital.gr,Third country,GR,GR,estimate_domain_agree,5,5,0,0,1
carbon-pulse.com,Third country,US,,estimate_only,5,5,0,0,1
ettoday.net,Third country,TW,,estimate_only,5,5,0,0,0
hometownregister.com,Third country,US,,estimate_only,5,5,0,0,0
imerisia.gr,Third country,GR,GR,estimate_domain_agree,5,5,0,0,1
ltn.com.tw,Third country,TW,TW,estimate_domain_agree,5,5,0,0,1
marketscreener.com,Third country,US,,estimate_only,5,5,0,0,1
newsghana.com.gh,Third country,GH,GH,estimate_domain_agree,5,5,1,1,3
phys.org,Third country,US,,estimate_only,5,5,0,0,2
skai.gr,Third country,GR,GR,estimate_domain_agree,5,5,0,0,1
sudanile.com,Third country,SU,,estimate_only,5,5,0,0,2
thecable.ng,Third country,NI,NI,estimate_domain_agree,5,5,0,0,0
tribuneonlineng.com,Third country,NI,,estimate_only,5,5,0,0,1
voiceofalexandria.com,Third country,US,,estimate_only,5,5,0,0,1
africa-newsroom.com,Third country,SF,,estimate_only,4,4,3,2,2
africa.com,Third country,SF,,estimate_only,4,4,3,0,0
aol.com,Third country,US,,estimate_only,4,4,0,0,1
bdtonline.com,Third country,US,,estimate_only,4,4,0,0,4
bunburymail.com.au,Third country,AS,AS,estimate_domain_agree,4,4,0,0,1
carbonbrief.org,Third country,UK,,estimate_only,4,4,0,0,2
chunichi.co.jp,Third country,JA,JA,estimate_domain_agree,4,4,0,0,4
dailytimes.com.pk,Third country,PK,PK,estimate_domain_agree,4,4,0,0,0
dawn.com,Third country,PK,,estimate_only,4,4,0,0,0
digitaljournal.com,Third country,US,,estimate_only,4,4,0,0,0
easternriverinachronicle.com.au,Third country,AS,AS,estimate_domain_agree,4,4,0,0,0
ertnews.gr,Third country,,GR,domain_only,4,4,0,0,1
examiner.com.au,Third country,AS,AS,estimate_domain_agree,4,4,0,0,0
fao.org,Third country,IT,,estimate_only,4,4,0,0,1
firstpost.com,Third country,IN,,estimate_only,4,4,0,0,2
gdnonline.com,Third country,US,,estimate_only,4,4,0,0,2
ghanamma.com,Third country,GH,,estimate_only,4,4,0,0,0
herald.co.zw,Third country,ZI,ZI,estimate_domain_agree,4,4,1,1,2
ibtimes.com,Third country,US,,estimate_only,4,4,0,0,0
index.hu,Third country,HU,HU,estimate_domain_agree,4,4,0,0,1
jamaica-gleaner.com,Third country,JM,,estimate_only,4,4,0,0,3
juneesoutherncross.com.au,Third country,AS,AS,estimate_domain_agree,4,4,0,0,0
localnews8.com,Third country,US,,estimate_only,4,4,0,0,0
mandurahmail.com.au,Third country,AS,AS,estimate_domain_agree,4,4,0,0,1
myjoyonline.com,Third country,GH,,estimate_only,4,4,0,0,0
newsbomb.gr,Third country,GR,GR,estimate_domain_agree,4,4,0,0,1
punchng.com,Third country,NI,,estimate_only,4,4,0,0,0
setn.com,Third country,TW,,estimate_only,4,4,0,0,0
skaikritis.gr,Third country,GR,GR,estimate_domain_agree,4,4,0,0,0
slguardian.org,Third country,CE,,estimate_only,4,4,0,0,2
techcabal.com,Third country,NI,,estimate_only,4,4,1,0,0
thenews.com.pk,Third country,PK,PK,estimate_domain_agree,4,4,0,0,0
thepeninsulaqatar.com,Third country,QA,,estimate_only,4,4,0,0,2
thepointsguy.com,Third country,US,,estimate_only,4,4,0,0,0
thereporterethiopia.com,Third country,ET,,estimate_only,4,4,0,0,0
voanews.com,Third country,US,,estimate_only,4,4,0,0,4
wardheernews.com,Third country,SO,,estimate_only,4,4,0,0,4
wgauradio.com,Third country,US,,estimate_only,4,4,0,0,3
winnipegfreepress.com,Third country,CA,,estimate_only,4,4,0,0,3
wokv.com,Third country,US,,estimate_only,4,4,0,0,4
wsbradio.com,Third country,US,,estimate_only,4,4,0,0,4
adevarul.ro,Third country,RO,RO,estimate_domain_agree,3,3,0,0,1
africanews.com,Third country,NI,,estimate_only,3,3,0,0,1
apnews.com,Third country,US,,estimate_only,3,3,0,0,2
athensvoice.gr,Third country,GR,GR,estimate_domain_agree,3,3,0,0,1
barrons.com,Third country,US,,estimate_only,3,3,0,0,0
bbc.com,Third country,UK,,estimate_only,3,3,0,0,1
bendigoadvertiser.com.au,Third country,AS,AS,estimate_domain_agree,3,3,0,0,1
bizcommunity.com,Third country,SF,,estimate_only,3,3,0,0,0
bluemountainsgazette.com.au,Third country,AS,AS,estimate_domain_agree,3,3,0,0,1
bssnews.net,Third country,BG,,estimate_only,3,3,0,0,0
businessghana.com,Third country,GH,,estimate_only,3,3,0,0,0
